article_id,source,comment,clean_comment,sentiment,true_sentiment
insta_3,instagram,"Какая прелесть, у меня тоже к этому ровд есть притензии","Какая прелесть, у меня тоже к этому ровд есть притензии",neutral,negative
insta_4,instagram,Кому то захотелось это место! 100%!🙌🙌,Кому то захотелось это место! 100%!🙌🙌,neutral,negative
insta_5,instagram,Так неожиданно,Так неожиданно,negative,neutral
insta_6,instagram,Кулиб кулиб скяди,Кулиб кулиб скяди,negative,negative
insta_7,instagram,😂eng qizig'i yangilik ilovasida Franklinni qarashi sindirdi😂,😂eng qizig'i yangilik ilovasida Franklinni qarashi sindirdi😂,neutral,neutral
insta_8,instagram,"👏👏👏отлично подставили ! Место нужно было , вот теперь освободили )","👏👏👏отлично подставили ! Место нужно было , вот теперь освободили )",neutral,negative
insta_9,instagram,😂😂😂insta_11,instagram,"Видимо хотели его с должности снять, вот и сняли этим способом 😂😂","Видимо хотели его с должности снять, вот и сняли этим способом 😂😂",positive,negative
insta_12,instagram,"Напишите про котенка в @rano_eco_village, время идет, а вы молчите. Вы же не на стороне живодеров?","Напишите про котенка в , время идет, а вы молчите. Вы же не на стороне живодеров?",negative
insta_13,instagram,Даже доллар в хайране на фото,Даже доллар в хайране на фото,positive
insta_14,instagram,"Сегодня праздник, пожалуй выпью за это событие😂","Сегодня праздник, пожалуй выпью за это событие😂",neutral
insta_15,instagram,Этот взгляд покорил миллиарды,Этот взгляд покорил миллиарды,neutral
insta_16,instagram,"Да да конечно 😂😂 не новость,😂😂😂😂 не новость,neutral
insta_10,instagram,Ого-го это как крупное землетрясение вместе свержением вулкана,Ого-го это как крупное землетрясение вместе свержением вулкана,negative
Значит все его дела которые он вел должны перепроверить на правильность решений, но этого никто не будет делать потому что это все показуха","Да да конечно 😂 Значит все его дела которые он вел должны перепроверить на правильность решений, но этого никто не будет делать потому что это все показуха",positive
insta_17,instagram,Почему их лицо не показывают аа если обычный гражданин что то нарушает все публично,Почему их лицо не показывают аа если обычный гражданин что то нарушает все публично,positive
insta_18,instagram,"И рас,два,три продолжаем....кто ещё не поделился 🤔","И рас,два,три продолжаем....кто ещё не поделился 🤔",neutral
insta_19,instagram,Начальники хочимиятов (хакимы) не попадаются на взятке только замы . А тут целый начальник РОВД хотите сказать что он глупее Хакимов 😂😂😂. Подстава 10000000% из своих подченненых,Начальники хочимиятов (хакимы) не попадаются на взятке только замы . А тут целый начальник РОВД хотите сказать что он глупее Хакимов 😂😂😂. Подстава 10000000% из своих подченненых,positive
insta_52,instagram,"после GoodBye, WizzAir a!","после GoodBye, WizzAir a!",negative
insta_53,instagram,Прекрасная авиакомпания!❤️,Прекрасная авиакомпания!❤️,neutral
